mst_id,seasonal_type,common_undertones,base_palette,accent_palette,avoid_palette,neutrals_light,neutrals_dark,metals,denim_wash,prints_patterns,contrast_rules,pairing_rules,work_palette,casual_palette,festive_wedding_palette,formal_black_tie_palette,examples,notes
1,"Light Summer, Light Spring","cool, light, neutral",#F67599;#C964CF;#71C5E8;#F57EB6;#A05EB5;#6DCDB8;#6787B7;#FAAA8D;#CDA077;#FCC89B;#57728B;#F1EB9C;#99D6EA;#D9EA9A;#D9B48F;#9BCBEB;#9BCBE8;#D3BC8D;#F5E1A4;#F8CFA9;#AD96DC;#DD9CDF;#CF92B7;#A4DBE8,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#5BC2E7;#FBDB65;#FF8D6D;#3E6991,#000000;#5C068C,#E6E6E6;#D9D9D9;#B8C9E1,#484A51;#3B3B3B;#003057,"silver, white gold, platinum, rose gold","light, mid, soft indigo","Soft, airy prints; watercolor stripes/plaids.","Low-to-medium contrast; favor cool, misty combos.",Mix cool greys with dusty roses and powder blues; avoid harsh neons.,#F67599;#C964CF;#71C5E8;#F57EB6;#A05EB5;#6DCDB8,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#5BC2E7;#FBDB65;#FF8D6D;#3E6991,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#F67599;#C964CF;#71C5E8;#F57EB6,#F67599;#C964CF;#71C5E8,lavender;powder blue;dusty rose;peach;mint;coral,Auto-merged from your seasonal files for MST-1. Adjust season mapping if desired.
2,"Light Spring, Light Summer","warm, light, neutral",#F67599;#C964CF;#71C5E8;#F57EB6;#A05EB5;#6DCDB8;#6787B7;#FAAA8D;#CDA077;#FCC89B;#57728B;#F1EB9C;#99D6EA;#D9EA9A;#D9B48F;#9BCBEB;#9BCBE8;#D3BC8D;#F5E1A4;#F8CFA9;#AD96DC;#DD9CDF;#CF92B7;#A4DBE8,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#5BC2E7;#FBDB65;#FF8D6D;#3E6991,#000000;#5C068C,#FFF9D7;#F5E1A4;#F8CFA9;#FEFEFE,#5C462B;#453536;#7C4D3A,"gold, rose gold, light bronze, white gold","light, mid","Crisp small-to-medium prints; bright, high-clarity motifs.",Medium contrast; avoid stark black near face.,Pair warm ivories/peaches with bright yellows/corals; anchor with tan/camel.,#F67599;#C964CF;#71C5E8;#F57EB6;#A05EB5;#6DCDB8,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#5BC2E7;#FBDB65;#FF8D6D;#3E6991,#26D07C;#2DCCD3;#6CC24A;#FDAA63;#F67599;#C964CF;#71C5E8;#F57EB6,#F67599;#C964CF;#71C5E8,peach;mint;coral;lavender;powder blue;dusty rose,Auto-merged from your seasonal files for MST-2. Adjust season mapping if desired.
3,"Clear Spring, Light Spring","warm, clear, light",#00A499;#007FA3;#00558C;#FFB81C;#DA291C;#A6631B;#2DCCD3;#D539B5;#963CBD;#84329B;#6CC24A;#FDAA63;#FBDB65;#FF8D6D;#FDD26E;#5C462B;#6DCDB8;#77C5D5;#FAAA8D;#CDA077;#A77BCA;#FCC89B;#F1EB9C;#D9EA9A,#FFCD00;#FF8200;#FCE300;#E40046;#D0DF00;#BE5400;#0087AE;#008EAA,#000000;#5C462B;#5C068C,#FFF9D7;#F5E1A4;#F8CFA9;#FEFEFE,#453536;#7C4D3A,"gold, rose gold, light bronze, white gold","light, mid","Crisp small-to-medium prints; bright, high-clarity motifs.",Medium contrast; avoid stark black near face.,Pair warm ivories/peaches with bright yellows/corals; anchor with tan/camel.,#00A499;#007FA3;#00558C;#FFB81C;#DA291C;#A6631B,#FFCD00;#FF8200;#FCE300;#E40046;#D0DF00;#BE5400;#0087AE;#008EAA,#FFCD00;#FF8200;#FCE300;#E40046;#00A499;#007FA3;#00558C;#FFB81C,#00A499;#007FA3;#00558C,turquoise;clear yellow;bright coral;peach;mint;coral,Auto-merged from your seasonal files for MST-3. Adjust season mapping if desired.
4,"Warm Spring, Cool Summer","warm, neutral",#00A499;#00A376;#009F4D;#007681;#006F62;#003057;#D4C304;#BF0D3E;#FFB81C;#FF8F1C;#AC145A;#E31C79;#DA291C;#F0B323;#A6631B;#2DCCD3;#EC5037;#963CBD;#A9C23F;#93328E;#6CC24A;#FDAA63;#EF60A3;#FDD26E,#FFCD00;#FF8200;#FCE300;#00A9E0;#C4D600;#0077C8;#00B0B9;#A8AD00,#000000;#003DA5;#FF8200,#FFF9D7;#F5E1A4;#F8CFA9;#FEFEFE,#5C462B;#453536;#7C4D3A,"gold, rose gold, light bronze, white gold","light, mid","Crisp small-to-medium prints; bright, high-clarity motifs.",Medium contrast; avoid stark black near face.,Pair warm ivories/peaches with bright yellows/corals; anchor with tan/camel.,#00A499;#00A376;#009F4D;#007681;#006F62;#003057,#FFCD00;#FF8200;#FCE300;#00A9E0;#C4D600;#0077C8;#00B0B9;#A8AD00,#FFCD00;#FF8200;#FCE300;#00A9E0;#00A499;#00A376;#009F4D;#007681,#00A499;#00A376;#009F4D,warm beige;golden yellow;apricot;clear blues;soft fuchsias;cool pinks,Auto-merged from your seasonal files for MST-4. Adjust season mapping if desired.
5,"Soft Summer, Soft Autumn","neutral, soft",#24563F;#B58150;#7C4D3A;#71C5E8;#C26E60;#A05EB5;#6BCABA;#6DCDB8;#A09958;#5C82A5;#A15A95;#487A7B;#956C58;#FCD299;#57728B;#94795D;#507F70;#FFA3B5;#779FB5;#D9B48F;#9BCBEB;#CDA788;#F5E1A4;#D592AA,#009CA6;#009F4D;#1A83D7;#C05131;#F65275;#DB864E;#946037;#FDAA63,#000000;#FF8200;#FF1493,#E6E6E6;#D9D9D9;#B8C9E1,#484A51;#3B3B3B;#003057,"silver, white gold, platinum, rose gold","light, mid, soft indigo","Soft, airy prints; watercolor stripes/plaids.","Low-to-medium contrast; favor cool, misty combos.",Mix cool greys with dusty roses and powder blues; avoid harsh neons.,#24563F;#B58150;#7C4D3A;#71C5E8;#C26E60;#A05EB5,#009CA6;#009F4D;#1A83D7;#C05131;#F65275;#DB864E;#946037;#FDAA63,#009CA6;#009F4D;#1A83D7;#C05131;#24563F;#B58150;#7C4D3A;#71C5E8,#24563F;#B58150;#7C4D3A,slate blue;soft plum;moss green;taupe;sage;terracotta,Auto-merged from your seasonal files for MST-5. Adjust season mapping if desired.
6,"Cool Winter, Soft Autumn","neutral, cool",#AA0061;#009F4D;#009775;#004B87;#890C58;#DA1884;#C724B1;#C05131;#963CBD;#84329B;#DB864E;#946037;#59CBE8;#FDAA63;#24563F;#B58150;#7C4D3A;#C26E60;#6BCABA;#A09958;#487A7B;#956C58;#FCD299;#F395C7,#E3006D;#00A3E1;#0086D6;#0072CE;#CE0037;#0082BA;#00B0B9;#0057B8,#F5E1A4;#A09958;#000000;#FF1493,#FEFEFE;#E6E6E6,#131413;#002D72;#1A1A1A,"silver, platinum, white gold, gunmetal","dark, black","Graphic, high-clarity prints; bold stripes/geometrics.",High contrast near the face looks great.,"Use icy whites with jewel tones; black works, avoid beige near face.",#AA0061;#009F4D;#009775;#004B87;#890C58;#DA1884,#E3006D;#00A3E1;#0086D6;#0072CE;#CE0037;#0082BA;#00B0B9;#0057B8,#E3006D;#00A3E1;#0086D6;#0072CE;#AA0061;#009F4D;#009775;#004B87,#FEFEFE;#AA0061;#009F4D;#009775,navy;cool red;black;Emerald;cobalt blue;cherry;sapphire;bright navy;amethyst;bottle-green;fuchsia;cool ruby;taupe;sage;terracotta,Auto-merged from your seasonal files for MST-6. Adjust season mapping if desired.
7,"Warm Autumn, Clear Winter","warm, deep",#0077C8;#C6007E;#00BFB3;#0057B8;#0087AE;#AA0061;#003DA5;#A07400;#009F4D;#009775;#00778B;#004B87;#00594C;#E00885;#046A38;#B89D18;#9D4815;#A51890;#87189D;#A6631B;#B4A91F;#C724B1;#F68D2E;#D69A2D,#FFCD00;#EF7200;#E40046;#E3006D;#00A3E1;#0086D6;#CE0037;#0096CA,#000000;#FF1493;#F5E1A4;#A09958,#DFD1A7;#CDA788,#7C4D3A;#5C462B;#453536,"gold, rose gold, light bronze, white gold","mid, dark",Organic motifs; tweeds/herringbone; earthy geometrics.,Medium contrast; depth layering works well.,Combine olive/sage with rust/caramel; ground with chocolate/brown.,#0077C8;#C6007E;#00BFB3;#0057B8;#0087AE;#AA0061,#FFCD00;#EF7200;#E40046;#E3006D;#00A3E1;#0086D6;#CE0037;#0096CA,#FFCD00;#EF7200;#E40046;#E3006D;#0077C8;#C6007E;#00BFB3;#0057B8,#FEFEFE;#0077C8;#C6007E;#00BFB3,mustard;rust;olive;emerald;fuchsia;royal blue;Hot pink;cobalt blue;true red;violet;sapphire;azure;ice pink;acid yellow;emerald;light grey marle,Auto-merged from your seasonal files for MST-7. Adjust season mapping if desired.
8,"Deep Autumn, Cool Winter","neutral, deep",#AA0061;#009775;#004B87;#890C58;#DA1884;#A6631B;#C724B1;#9A3324;#963CBD;#84329B;#946037;#59CBE8;#7C4D3A;#F395C7;#F8E59A;#99D6EA;#9BB8D3;#484A51;#131413;#808286;#FEFEFE,#E3006D;#00A3E1;#0086D6;#0072CE;#CE0037;#0082BA;#00B0B9;#0057B8,#F395C7;#99D6EA;#F5E1A4;#A09958,#DFD1A7;#CDA788,#7C4D3A;#5C462B;#453536,"gold, rose gold, light bronze, white gold","mid, dark",Organic motifs; tweeds/herringbone; earthy geometrics.,Medium contrast; depth layering works well.,Combine olive/sage with rust/caramel; ground with chocolate/brown.,#AA0061;#009775;#004B87;#890C58;#DA1884;#A6631B,#E3006D;#00A3E1;#0086D6;#0072CE;#CE0037;#0082BA;#00B0B9;#0057B8,#E3006D;#00A3E1;#0086D6;#0072CE;#AA0061;#009775;#004B87;#890C58,#FEFEFE;#AA0061;#009775;#004B87,burgundy;chocolate;deep teal;navy;cool red;black;Emerald;cobalt blue;cherry;sapphire;bright navy;amethyst;bottle-green;fuchsia;cool ruby,Auto-merged from your seasonal files for MST-8. Adjust season mapping if desired.
9,"Clear Winter, Deep Winter","cool, deep, clear",#0057B8;#0087AE;#AA0061;#003DA5;#007FA3;#009F4D;#009775;#004B87;#617F00;#002D72;#001E62;#00594C;#E00885;#341902;#5C068C;#890C58;#DA1884;#A51890;#87189D;#C724B1;#991E68;#2D389B;#963CBD;#84329B,#E40046;#E3006D;#00A3E1;#0086D6;#CE0037;#0096CA;#0077C8;#C6007E,#F5E1A4;#A09958;#FCC89B,#FEFEFE;#E6E6E6,#131413;#002D72;#1A1A1A,"silver, platinum, white gold, gunmetal","dark, black","Graphic, high-clarity prints; bold stripes/geometrics.",High contrast near the face looks great.,"Use icy whites with jewel tones; black works, avoid beige near face.",#0057B8;#0087AE;#AA0061;#003DA5;#007FA3;#009F4D,#E40046;#E3006D;#00A3E1;#0086D6;#CE0037;#0096CA;#0077C8;#C6007E,#E40046;#E3006D;#00A3E1;#0086D6;#0057B8;#0087AE;#AA0061;#003DA5,#FEFEFE;#0057B8;#0087AE;#AA0061,emerald;fuchsia;royal blue;Hot pink;cobalt blue;true red;violet;sapphire;azure;ice pink;acid yellow;emerald;light grey marle;deep purples;rich blues;crisp whites;Deep claret;forest green;oakmoss;true red;garnet;navy;turquoise;cool ruby;chestnut red;sapphire;amethyst;white,Auto-merged from your seasonal files for MST-9. Adjust season mapping if desired.
10,Deep Winter,"cool, deep",#009775;#004B87;#617F00;#002D72;#001E62;#00594C;#341902;#5C068C;#890C58;#DA1884;#C724B1;#991E68;#963CBD;#84329B;#B8C9E1;#131413;#FEFEFE,#E3006D;#0086D6;#CE0037;#0096CA;#0057B8;#AA0061;#007FA3;#009F4D,#F5E1A4;#FCC89B,#FEFEFE;#E6E6E6,#131413;#002D72;#1A1A1A,"silver, platinum, white gold, gunmetal","dark, black","Graphic, high-clarity prints; bold stripes/geometrics.",High contrast near the face looks great.,"Use icy whites with jewel tones; black works, avoid beige near face.",#009775;#004B87;#617F00;#002D72;#001E62;#00594C,#E3006D;#0086D6;#CE0037;#0096CA;#0057B8;#AA0061;#007FA3;#009F4D,#E3006D;#0086D6;#CE0037;#0096CA;#009775;#004B87;#617F00;#002D72,#FEFEFE;#009775;#004B87;#617F00,deep purples;rich blues;crisp whites;Deep claret;forest green;oakmoss;true red;garnet;navy;turquoise;cool ruby;chestnut red;sapphire;amethyst;white,Auto-merged from your seasonal files for MST-10. Adjust season mapping if desired.
